,user,date,text,likes,company
30,barbiegirlauren,Mon Oct 26 00:15:11 +0000 2020,"unironic thumbs up emojis should only be used by facebook mums, nobody else, especially not weird 14y/o boys 🤢",0,Facebook
31,brendageraci,Mon Oct 26 00:15:12 +0000 2020,"How many times per week do you search for homes online?

Brenda Geraci 
BuyAndSellWithBrenda https://t.co/6MqeAbLxKJ",0,Facebook
32,itsyadsbitch,Mon Oct 26 00:15:12 +0000 2020,"RT @DarrenArmy: The I Will Vote Concert is also streaming of Facebook! 

https://t.co/X83LfqzlM8 https://t.co/2I3NLfroKx",0,Facebook
33,hihippopotamus,Mon Oct 26 00:15:13 +0000 2020,I spent 3 minutes typing a comment on a post i saw on Facebook and stopped for a second &amp;deleted it all.,0,Facebook
34,Ssunna2,Mon Oct 26 00:15:14 +0000 2020,"RT @Brightwin4_ever: Schedule💚win metawin🐰

Wall’s Viennetta  
🕑 21.00-22.00 
🗓 26-10-20
 🎬Facebook 
 🎬Youtube : GMMTV (Live)

📍สำหรับ # จะ…",0,Facebook
35,LiveGoldCountry,Mon Oct 26 00:15:14 +0000 2020,"Cleanliness is next to godliness - look at that counter top glisten.

Jessica Wilson
https://t.co/BWzWTr9dHO… https://t.co/ORQBImUL1X",0,Facebook
36,queekie1,Mon Oct 26 00:15:14 +0000 2020,"RT @SaraGideon: While Senator Collins may not want to be seen with Donald Trump in Maine today, her record is clear: She’s put Trump ahead…",0,Facebook
37,Introvert_Em,Mon Oct 26 00:15:15 +0000 2020,"RT @ObongRoviel: Lagos state caught 229 people in 3 days that looted from warehouse 

But can’t arrest one thug that his pictures and Faceb…",0,Facebook
38,aria_law28,Mon Oct 26 00:15:15 +0000 2020,"RT @welovemewgulf: [MewGulf Schedule] 10.26.2020

[EVENT] Little Miracle x MewGulf Meet &amp; Greet Charity
🕕 1:00PM to 3:00PM 🇹🇭
🎥 TBA

[LIVE]…",0,Facebook
39,KBmonkeyweed,Mon Oct 26 00:15:16 +0000 2020,"RT @DeonnaPurrazzo: Tonight I’ll be joining @IMPACTWRESTLING Pop-Up Store on FACEBOOK LIVE at 9PM! 

I’m auctioning off ring-with knee-pads…",0,Facebook
40,Hnon_En,Mon Oct 26 00:15:16 +0000 2020,"RT @micyam88: งานวันนี้ 26.10.63

🐵😸🐵😸😸🐵😸🐵😸😸🐵

📌 Press Con Boyfriends 
⏰ 19.00น.
📺 https://t.co/b9RGp9YpMi
👉 https://t.co/uP0giDIHjw

#warw…",0,Facebook
41,_numba1stunna,Mon Oct 26 00:15:16 +0000 2020,RT @72Ieo: facebook be on another level 😭 https://t.co/fj38ipuOyt,0,Facebook
42,Sree_eerS,Mon Oct 26 00:15:17 +0000 2020,"RT @FBoversight: ⚠️Attention⚠️ As disinformation, fake news, and graphic content spreads on Facebook, we have invited Zuck's hidden workfor…",0,Facebook
43,bwpath,Mon Oct 26 00:15:17 +0000 2020,"RT @Brightwin4_ever: Schedule💚win metawin🐰

Wall’s Viennetta  
🕑 21.00-22.00 
🗓 26-10-20
 🎬Facebook 
 🎬Youtube : GMMTV (Live)

📍สำหรับ # จะ…",0,Facebook
44,BelieversAlice,Mon Oct 26 00:15:17 +0000 2020,"Are you ready for tomorrow's special advance screening of #MNL48Alice 's ""MNL48 Presents - Pranks Not Dead""?

If no… https://t.co/npedOaA0tk",0,Facebook
45,MidwesternMama2,Mon Oct 26 00:15:19 +0000 2020,"RT @rickklein: Trump's soundbite on Obamacare and SCOTUS, as seen now on 60 Minutes (not just Facebook): ""I hope that they end it - it woul…",0,Facebook
46,Kwangpnn1,Mon Oct 26 00:15:19 +0000 2020,"RT @Brightwin4_ever: Schedule💚win metawin🐰

Wall’s Viennetta  
🕑 21.00-22.00 
🗓 26-10-20
 🎬Facebook 
 🎬Youtube : GMMTV (Live)

📍สำหรับ # จะ…",0,Facebook
47,sugar9940,Mon Oct 26 00:15:19 +0000 2020,RT @ImranKhanPTI: My letter to CEO Facebook Mark Zuckerberg to ban Islamophobia just as Facebook has banned questioning or criticising the…,0,Facebook
48,dannyboyrand,Mon Oct 26 00:15:20 +0000 2020,RT @CSMFHT: As seen on Facebook https://t.co/kA3IUOSBJQ,0,Facebook
49,Prog_Blacksmith,Mon Oct 26 00:15:30 +0000 2020,"RT @ZephyrTeachout: You do not want Zuckerberg, or any private company, as your national Chief Truth &amp; Justice Officer, part 1000. 

The mo…",0,Facebook
50,RiazAhmadBhutt5,Mon Oct 26 00:15:31 +0000 2020,RT @ImranKhanPTI: My letter to CEO Facebook Mark Zuckerberg to ban Islamophobia just as Facebook has banned questioning or criticising the…,0,Facebook
51,kithkiheon,Mon Oct 26 00:15:55 +0000 2020,RT @WORLDMUSICAWARD: #MONSTAX stun in new Concept Pics for their much anticipated 3rd full album #FatalLove dropping November 2!📷✨3️⃣💿💥2️⃣🔥…,0,Facebook
52,DeSotoBands,Mon Oct 26 00:15:44 +0000 2020,"Marching Season Recap

https://t.co/o8we4wpUiY https://t.co/JmXpR4A0aD",0,Facebook
53,Aman12300021,Mon Oct 26 00:15:46 +0000 2020,"RT @cjwerleman: Most Facebook fact-checking partners in India fail to fact-check BJP-led misinformation.

Facebook is fascism’s best friend…",0,Facebook
54,Andrea6Mitchell,Mon Oct 26 00:15:47 +0000 2020,I've been anxious for days because a young woman whom I'm very attached to posted a frustrated rant on facebook abo… https://t.co/ipsvMXFGjH,0,Facebook
55,svtup_join,Mon Oct 26 00:15:48 +0000 2020,"Music is one of the few things that unites people of all religions, races and professions. 😏  Come vibe with us in… https://t.co/i95B9xBryr",0,Facebook
56,jamtartladyharp,Mon Oct 26 00:15:48 +0000 2020,"RT @shishnfips: 🐾SKD USA Fall Craft Fair🐾
To help #SouthKorea #DogMeatTrade survivors

Please join us!
⏰November 6, 2020
to
⏰November 8, 20…",0,Facebook
57,brandibookshelf,Mon Oct 26 00:15:48 +0000 2020,Have you ever like unknowingly inserted yourself in Facebook drama because OOOOOF. And then you have to explain you… https://t.co/inuLRaV8ob,0,Facebook
58,WPaulHamill,Mon Oct 26 00:15:49 +0000 2020,RT @sunraysunray: Facebook is now blocking our videos for violating “community standards” that trigger certain key words. Was it the “Marxi…,0,Facebook
59,issamsaad,Mon Oct 26 00:15:50 +0000 2020,"RT @CixLiv: Important VR PSA #2: 👉 Oculus headsets being used simultaneously on the same Facebook account will get it banned.

“not be able…",0,Facebook
60,wildgreekgodbot,Mon Oct 26 00:15:50 +0000 2020,Hemera is sometimes on Twitter or getting into Facebook arguments.,0,Facebook
61,BrightWinMYFav,Mon Oct 26 00:15:51 +0000 2020,"RT @Brightwin4_ever: Schedule💚win metawin🐰

Wall’s Viennetta  
🕑 21.00-22.00 
🗓 26-10-20
 🎬Facebook 
 🎬Youtube : GMMTV (Live)

📍สำหรับ # จะ…",0,Facebook
62,LileeSosa,Mon Oct 26 00:15:51 +0000 2020,I’m about to activate my Facebook and join a group. I’m too old not to have no friends lol,0,Facebook
63,PuggsDreadd,Mon Oct 26 00:15:51 +0000 2020,"RT @FleshWoundRadio: #TheSimpsonsTreehouseOfHorrors special. Join us for Mo and his Droogs, Kaiju Homer, the fires of hell itself, &amp;as a bo…",0,Facebook
64,quotidien_pain,Mon Oct 26 00:15:51 +0000 2020,RT @partyyhardie: I love Facebook😂 https://t.co/hN9v6gGQax,0,Facebook
65,BoyAndMonster,Mon Oct 26 00:15:53 +0000 2020,"We understand, Tanisha.

credit: https://t.co/XrlW9P7ixr https://t.co/qFWcayLaMH",0,Facebook
66,EntMediaNews,Mon Oct 26 00:15:53 +0000 2020,Facebook Prepares Measures for Possible Election Unrest – WSJ https://t.co/B1Ve87Ij09,0,Facebook
67,CarrieDevorah1,Mon Oct 26 00:15:54 +0000 2020,@MLGG2 @BBCWorld @CNN @HRWcanada @UN_Women @WHO @JustinTrudeau @patientombuds @PattyHajdu @OntariosDoctors… https://t.co/gwNsDuOg7K,0,Facebook
68,shadow63769355,Mon Oct 26 00:15:55 +0000 2020,"RT @SB19Official: Tilaluha Cover Contest! Win P10,000! See SB19’s Facebook Page for more details:  https://t.co/L9H4NqDf1F https://t.co/m8C…",0,Facebook
69,TaniaVillag,Mon Oct 26 00:15:55 +0000 2020,"RT @mgtiddiesxx: !! Schedule for today (10/26) !! 

📌MewGulf x Little Miracle Charity Event [LIVE]
⏰1pm🇹🇭/ 2pm🇵🇭
🔗FB: https://t.co/c8yA9hId…",0,Facebook
70,cgp_careless,Mon Oct 26 00:15:55 +0000 2020,"RT @cnnphilippines: Actress-singer Nadine Lustre shows her vulnerable side in her debut album, 'Wildest Dreams.'

She says it's inspired by…",0,Facebook
71,HatimElmadani,Mon Oct 26 00:15:55 +0000 2020,"* Note, this survey comes from WhatsApp, Facebook, and other channels I participate in in Sudan, and from phone cal… https://t.co/0IkXHCYZlR",0,Facebook
72,demaniromaszz,Mon Oct 26 00:15:55 +0000 2020,"Everyone go follow my lash page @fabulashbydemani insta &amp; Facebook!!

Thank you for the support 💗💗

Available at my… https://t.co/JUdSCiI3hZ",0,Facebook
73,mama_seedy,Mon Oct 26 00:15:55 +0000 2020,"RT @SaraGideon: While Senator Collins may not want to be seen with Donald Trump in Maine today, her record is clear: She’s put Trump ahead…",0,Facebook
74,capnjazzyjeff,Mon Oct 26 00:15:45 +0000 2020,"Though my admin days are over and done with, I do feel a deep desire to send everyone who requests to join the gold… https://t.co/sDPYTxF9vh",0,Facebook
75,MDaware,Mon Oct 26 00:15:44 +0000 2020,"RT @ashishkjha: More nonsense

There is no higher reimbursement that I can find for car accident victims who are COVID+. 

And if you bill…",0,Facebook
