,date,count,Company,Ticker,Source
0,20-08-01,250841,Facebook,FB,Twitter
1,20-08-01,98937,Amazon,AMZN,Twitter
2,20-08-01,657,Netflix,NFLX,Twitter
3,20-08-01,1233,Google,GOOGL,Twitter
4,20-08-01,5004,Apple,AAPL,Twitter
5,20-08-02,100820,Amazon,AMZN,Twitter
6,20-08-02,810,Google,GOOGL,Twitter
7,20-08-02,253170,Facebook,FB,Twitter
8,20-08-02,3015,Apple,AAPL,Twitter
9,20-08-02,592,Netflix,NFLX,Twitter
10,20-08-03,7783,Apple,AAPL,Twitter
11,20-08-03,1470,Google,GOOGL,Twitter
12,20-08-03,1479,Netflix,NFLX,Twitter
13,20-08-03,105686,Amazon,AMZN,Twitter
14,20-08-03,291999,Facebook,FB,Twitter
15,20-08-04,6466,Apple,AAPL,Twitter
16,20-08-04,1176,Google,GOOGL,Twitter
17,20-08-04,1380,Netflix,NFLX,Twitter
18,20-08-04,409023,Facebook,FB,Twitter
19,20-08-04,124197,Amazon,AMZN,Twitter
20,20-08-05,4329,Apple,AAPL,Twitter
21,20-08-05,356136,Facebook,FB,Twitter
22,20-08-05,835,Google,GOOGL,Twitter
23,20-08-05,123467,Amazon,AMZN,Twitter
24,20-08-05,1194,Netflix,NFLX,Twitter
25,20-08-06,1104,Google,GOOGL,Twitter
26,20-08-06,126054,Amazon,AMZN,Twitter
27,20-08-06,358596,Facebook,FB,Twitter
28,20-08-06,1320,Netflix,NFLX,Twitter
29,20-08-06,7111,Apple,AAPL,Twitter
30,20-08-07,1246,Google,GOOGL,Twitter
31,20-08-07,1467,Netflix,NFLX,Twitter
32,20-08-07,118081,Amazon,AMZN,Twitter
33,20-08-07,364982,Facebook,FB,Twitter
34,20-08-07,5759,Apple,AAPL,Twitter
35,20-08-08,678,Netflix,NFLX,Twitter
36,20-08-08,102116,Amazon,AMZN,Twitter
37,20-08-08,2353,Apple,AAPL,Twitter
38,20-08-08,347995,Facebook,FB,Twitter
39,20-08-08,696,Google,GOOGL,Twitter
40,20-08-09,1523,Google,GOOGL,Twitter
41,20-08-09,2211,Apple,AAPL,Twitter
42,20-08-09,282794,Facebook,FB,Twitter
43,20-08-09,610,Netflix,NFLX,Twitter
44,20-08-09,113877,Amazon,AMZN,Twitter
45,20-08-10,5407,Apple,AAPL,Twitter
46,20-08-10,1368,Netflix,NFLX,Twitter
47,20-08-10,938,Google,GOOGL,Twitter
48,20-08-10,315274,Facebook,FB,Twitter
49,20-08-10,105228,Amazon,AMZN,Twitter
50,20-08-11,1705,Netflix,NFLX,Twitter
51,20-08-11,322944,Facebook,FB,Twitter
52,20-08-11,5582,Apple,AAPL,Twitter
53,20-08-11,1048,Google,GOOGL,Twitter
54,20-08-11,116596,Amazon,AMZN,Twitter
55,20-08-12,976,Google,GOOGL,Twitter
