,Company,Open,Close,Volume,Date
0,FB,228.0,238.0,43399740,20-07-01
1,FB,239.0,233.0,30633620,20-07-02
2,FB,234.0,240.0,26206158,20-07-06
3,FB,239.0,241.0,27887786,20-07-07
4,FB,238.0,244.0,29791340,20-07-08
5,FB,245.0,244.0,22174896,20-07-09
6,FB,244.0,245.0,22982716,20-07-10
7,FB,247.0,239.0,24674874,20-07-13
8,FB,237.0,240.0,23378056,20-07-14
9,FB,242.0,240.0,19133562,20-07-15
10,FB,238.0,241.0,18880704,20-07-16
11,FB,241.0,242.0,18152412,20-07-17
12,FB,240.0,245.0,20872224,20-07-20
13,FB,246.0,242.0,19409688,20-07-21
14,FB,240.0,240.0,15427885,20-07-22
15,FB,240.0,233.0,21771802,20-07-23
16,FB,230.0,231.0,18325812,20-07-24
17,FB,231.0,234.0,13163083,20-07-27
18,FB,235.0,230.0,14170112,20-07-28
19,FB,231.0,233.0,13588317,20-07-29
20,FB,230.0,234.0,20615306,20-07-30
21,FB,256.0,254.0,53030036,20-07-31
22,FB,253.0,252.0,23134104,20-08-03
23,FB,252.0,250.0,17183532,20-08-04
24,FB,250.0,249.0,13088361,20-08-05
25,FB,249.0,265.0,45241612,20-08-06
26,FB,264.0,268.0,72766368,20-08-07
27,FB,268.0,263.0,30248826,20-08-10
28,FB,260.0,256.0,28238284,20-08-11
29,FB,259.0,260.0,21428328,20-08-12
30,FB,262.0,261.0,17373970,20-08-13
31,FB,262.0,261.0,14792708,20-08-14
32,FB,262.0,261.0,13351062,20-08-17
33,FB,261.0,262.0,18690384,20-08-18
34,FB,261.0,263.0,23291464,20-08-19
35,FB,262.0,269.0,20299688,20-08-20
36,FB,269.0,267.0,15538615,20-08-21
37,FB,271.0,271.0,23685604,20-08-24
38,FB,272.0,281.0,42127240,20-08-25
39,FB,284.0,304.0,69015152,20-08-26
40,FB,300.0,293.0,30301308,20-08-27
41,FB,295.0,294.0,17172416,20-08-28
42,FB,294.0,293.0,17345134,20-08-31
43,FB,295.0,295.0,17320872,20-09-01
44,FB,299.0,302.0,24341368,20-09-02
45,FB,296.0,291.0,32294092,20-09-03
46,FB,287.0,283.0,30333672,20-09-04
47,FB,271.0,271.0,24863996,20-09-08
48,FB,276.0,274.0,22918768,20-09-09
49,FB,276.0,268.0,24814668,20-09-10
50,FB,270.0,267.0,18913884,20-09-11
51,FB,271.0,266.0,24093830,20-09-14
52,FB,271.0,272.0,18478530,20-09-15
53,FB,267.0,264.0,29207594,20-09-16
54,FB,258.0,255.0,31281440,20-09-17
55,FB,258.0,253.0,28130768,20-09-18
56,FB,248.0,248.0,24709378,20-09-21
